"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"MIR219A2",0,-1.85141356218032,0.219,0.422,0
"NEAT1",0,1.31024594406256,0.887,0.849,0
"LINC01608",8.95969050043704e-253,-1.2088497103489,0.172,0.323,2.39555244910185e-248
"LMCD1-AS1",1.33956097660354e-232,-0.725064733714826,0.496,0.636,3.58158418314489e-228
"RP11-556E13.1",4.51904701138851e-228,2.50622838163751,0.151,0.052,1.20825759943495e-223
"RFX3-AS1",3.41646581713841e-219,-0.846649201649423,0.265,0.421,9.13460465528296e-215
"LINC01630",2.09255401704648e-218,-1.16895308404743,0.2,0.34,5.59486167537718e-214
"RP11-692D12.1",2.21191910985749e-211,-0.878391185458821,0.25,0.399,5.91400812402596e-207
"AC012593.1",4.50279262693136e-192,-0.955572084157458,0.24,0.377,1.20391166466264e-187
"FAM66D",8.3434071534274e-191,-0.880763384335861,0.269,0.404,2.23077677061188e-186
"LINC01376",2.03236216512731e-186,-1.35808398755363,0.089,0.197,5.43392672090089e-182
"RP11-707A18.1",1.501007175123e-182,1.66342355290405,0.139,0.05,4.01324288412637e-178
"RP11-81H3.2",4.79222031028258e-181,-1.02441565584421,0.164,0.291,1.28129594436025e-176
"RP11-305L7.3",1.17140069075916e-173,1.54463070460184,0.152,0.061,3.13197402688276e-169
"LINC01094",1.73409543482996e-172,1.28189012002335,0.174,0.077,4.63645096410485e-168
"RP11-1055B8.3",3.35178468381374e-167,-1.15292509466898,0.138,0.251,8.96166670911279e-163
"RP11-428O18.6",1.61973967119473e-153,-1.29927967095686,0.099,0.197,4.33069795887335e-149
"RP11-1129I3.1",1.38608791908988e-152,1.65705367164891,0.128,0.05,3.7059832692706e-148
"RP4-613B23.1",3.87091788510432e-149,-1.24535774932377,0.265,0.368,1.03496731494034e-144
"AC016831.7",4.7686239874966e-147,0.977827700126282,0.289,0.18,1.27498699553697e-142
"MIR325HG",7.13417970305583e-144,-0.838964016174571,0.253,0.37,1.90746562720604e-139
"CH17-189H20.1",1.81415500152126e-141,0.551400565377779,0.699,0.605,4.8505062275674e-137
"RP11-557H15.4",9.42858237559095e-141,-1.38681293437545,0.084,0.174,2.52092006976175e-136
"AC007163.3",2.35430103104757e-140,-1.44181012267766,0.053,0.132,6.29469466671188e-136
"LINC01170",6.6655074200871e-140,-0.867102275333898,0.242,0.356,1.78215671890869e-135
"MIR646HG",3.25198775117706e-138,0.937966579893652,0.246,0.143,8.69483965032209e-134
"LURAP1L-AS1",1.31843448557398e-136,-1.5244008477536,0.104,0.194,3.52509828407916e-132
"LINC00499",1.46031006501076e-136,2.27894469854706,0.111,0.042,3.90443102081927e-132
"RP1-223B1.1",2.49809732506021e-127,-0.958428047219819,0.149,0.248,6.67916281801348e-123
"C1orf132",3.74332066009473e-127,0.612129309925418,0.459,0.35,1.00085164488953e-122
"LINC00862",3.80476064701823e-126,0.758562568525592,0.319,0.209,1.01727885419327e-121
"AC093590.1",8.98937488360303e-122,-1.32608367797149,0.066,0.143,2.40348916262894e-117
"DANT2",8.91350615680473e-120,-0.540918046214739,0.41,0.519,2.38320414114488e-115
"AZIN1-AS1",5.89985652608207e-115,-0.852515910599361,0.171,0.268,1.57744463937856e-110
"CTC-529P8.1",8.86818098694772e-112,-1.02597681297975,0.13,0.217,2.37108555048021e-107
"OLMALINC",1.70778926606448e-110,0.668227594247559,0.467,0.366,4.56611616067659e-106
"AC009120.4",7.00352568630553e-110,-0.977270861918914,0.137,0.225,1.87253266274751e-105
"LINC00320",1.1307646626724e-109,-0.77456777118022,0.219,0.319,3.0233254785872e-105
"AC144449.1",3.72106904020746e-108,-0.948378598304602,0.153,0.243,9.94902229280267e-104
"RP11-202K23.1",2.59765027582275e-104,1.31476056770987,0.105,0.045,6.9453375424673e-100
"RP11-285F7.2",6.7716038016819e-102,-1.00425715763809,0.095,0.171,1.81052370845569e-97
"CH17-437K3.1",7.63476626166844e-101,0.800891798663582,0.233,0.147,2.04130745538229e-96
"GLIDR",1.65552891651795e-100,-0.859899617581786,0.191,0.281,4.42638766409405e-96
"RP11-72M17.1",1.50176628403235e-99,-1.16344506809054,0.087,0.161,4.0152725136173e-95
"LINC01481",3.49070613346167e-99,-0.802167411630486,0.255,0.344,9.33310098903648e-95
"LINC01099",1.97890830402592e-97,-1.49766691807471,0.061,0.125,5.29100713247409e-93
"LINC01411",5.75730707639482e-95,-0.895517598842981,0.119,0.198,1.53933119301568e-90
"RP11-584P21.2",1.96573881979067e-94,0.85428342594431,0.239,0.156,5.25579588247432e-90
"MIR181A1HG",1.21309363922957e-89,-0.515955306001755,0.479,0.559,3.2434484632081e-85
"RP11-141M1.3",2.76742073183704e-88,-0.67037600272659,0.233,0.321,7.39925281071269e-84
"RP11-9G1.3",7.54920696990956e-88,-0.835711226973401,0.192,0.274,2.01843146754472e-83
"SPANXA2-OT1",1.94282018848131e-85,-1.24795766699239,0.071,0.134,5.19451833794248e-81
"FAM66C",6.71318601545844e-85,-0.641276565625754,0.22,0.305,1.79490454495312e-80
"LINC00639",5.85848840954522e-83,-0.450098013645776,0.322,0.42,1.56638404606011e-78
"LINC01006",7.85784384691434e-83,-1.0019794429068,0.104,0.173,2.10095170934949e-78
"LINC00877",1.14466631519974e-82,-0.758500564448281,0.173,0.253,3.06049432694954e-78
"LINC00609",3.10187402582728e-79,-0.459354406363875,0.407,0.496,8.29348058285439e-75
"LINC01184",4.97885749086926e-78,-0.427196898713262,0.409,0.494,1.33119712733371e-73
"RP11-50D16.4",6.85930109329781e-78,-0.76885968522574,0.149,0.225,1.83397133331504e-73
"KB-1460A1.5",1.06933823668177e-76,0.953866423664876,0.124,0.067,2.85908964341605e-72
"AP000282.2",1.25721140435913e-76,-1.14552962860551,0.069,0.128,3.36140613183499e-72
"CTD-2049O4.1",2.05832715839433e-75,-0.518008032882077,0.231,0.316,5.50334932339892e-71
"RP11-323I15.5",3.57449727431052e-74,-0.710998702859066,0.156,0.231,9.55713336232402e-70
"GMDS-AS1",1.13691837980373e-73,-0.427388152804876,0.443,0.523,3.03977867208124e-69
"LINC00278",5.28265284251004e-73,1.05661097075174,0.133,0.075,1.41242289050191e-68
"RP11-707P17.1",2.48905109638638e-72,0.844090588082878,0.191,0.123,6.65497591640827e-68
"RP11-418J17.1",3.40982782980227e-72,0.544622836639432,0.325,0.243,9.11685666854234e-68
"BDNF-AS",4.47972611703974e-72,-0.600387439498223,0.262,0.342,1.19774437191292e-67
"DLEU7-AS1",6.70327172218053e-72,0.969522386956805,0.104,0.053,1.79225376035941e-67
"CPB2-AS1",8.69863738412433e-71,-0.564496259728202,0.315,0.395,2.32575467739332e-66
"LINC00882",5.06058406383256e-69,-0.369455792525473,0.466,0.554,1.35304836114691e-64
"BAALC-AS1",4.92597191115614e-68,0.835868167605383,0.139,0.081,1.31705710988582e-63
"RP11-284M14.1",2.88949401171374e-67,-0.682714897825476,0.287,0.357,7.72564013911902e-63
"AC004158.3",6.94069870230961e-67,-0.604183306388143,0.253,0.331,1.85573461203652e-62
"THUMPD3-AS1",5.87356201500645e-66,0.508075438247846,0.375,0.295,1.57041427595227e-61
"PARD6G-AS1",9.98978489947952e-64,1.1066109239591,0.117,0.066,2.67096878857384e-59
"AC002117.1",2.63301200179092e-62,-0.756595599228399,0.096,0.155,7.03988418918837e-58
"RP4-565E6.1",7.60864065824636e-62,-0.474149783916687,0.305,0.381,2.03432225279533e-57
"ADAMTS9-AS2",3.17422986036967e-61,0.835915292147635,0.225,0.161,8.48693837767039e-57
"MIR2052HG",2.23496236289624e-60,0.542245910408203,0.197,0.132,5.97561886967568e-56
"RP3-399L15.3",2.8454697441641e-60,-0.306388275204139,0.387,0.469,7.60793245497154e-56
"LINC01505",7.00001000309877e-60,-0.752582515680372,0.33,0.397,1.87159267452852e-55
"RP11-138A9.2",1.23636387639983e-57,0.884503540745015,0.129,0.078,3.30566609633023e-53
"RP11-10L12.4",1.70755371611004e-57,0.769772124466498,0.143,0.089,4.5654863707634e-53
"DPH6-AS1",3.71033188794927e-57,0.380724270342264,0.435,0.36,9.92031436880997e-53
"LINC00271",3.76011585456082e-57,-0.676710993206624,0.104,0.161,1.00534217603393e-52
"PAXBP1-AS1",2.88717826889326e-56,-1.00148777531166,0.061,0.107,7.7194485375399e-52
"XIST",3.22284419828535e-55,-0.655594396776057,0.096,0.151,8.61691853295553e-51
"RP11-319G6.1",3.54729060305641e-54,-0.459775396199179,0.314,0.383,9.48439088539192e-50
"RAP2C-AS1",5.75238268594418e-54,-0.8917501676056,0.085,0.136,1.53801455874089e-49
"RP11-545I5.3",2.66177674593408e-53,-0.745129961595921,0.142,0.2,7.11679248560394e-49
"AF131217.1",6.255401563917e-53,-0.427857321205329,0.247,0.319,1.67250671614449e-48
"RP11-53O19.1",8.20984747729952e-53,-0.690322426040784,0.137,0.195,2.19506692000557e-48
"AC105402.4",6.38230295089553e-51,0.295161398266461,0.659,0.591,1.70643633998094e-46
"LIFR-AS1",7.60183652384321e-51,-0.967271301839133,0.066,0.111,2.03250303137996e-46
"RP5-1021I20.5",1.89381730505888e-50,0.706377597491137,0.123,0.076,5.06349932853592e-46
"AC008697.1",7.58043549632754e-50,1.29432920662099,0.103,0.061,2.02678103865309e-45
"ENTPD3-AS1",9.29255077773442e-50,-0.652435862180011,0.209,0.268,2.48454930144285e-45
"TMEM72-AS1",1.11952857568261e-49,-0.773254330673075,0.121,0.174,2.9932835528026e-45
"RP11-580I1.2",5.48013281017637e-49,0.802205183030719,0.132,0.085,1.46522310945686e-44
"MAP3K14",1.41943715351662e-48,0.667617133053434,0.196,0.14,3.79514911735738e-44
