"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"NEAT1",0,1.53974108002702,0.999,0.994,0
"LINC00299",1.1220434619818e-93,-1.1569415641435,0.425,0.68,3.00000760430075e-89
"RP11-563J2.2",5.29372094654229e-88,-1.75186652467583,0.169,0.426,1.41538216947701e-83
"CTC-498M16.4",7.92248543018184e-85,-1.40861975457954,0.234,0.499,2.11823492946772e-80
"CH17-189H20.1",2.01335883044125e-82,0.787615664331208,0.862,0.712,5.38311750495077e-78
"AC012593.1",1.03992894124184e-70,-1.83189376304115,0.132,0.352,2.7804580101983e-66
"OLMALINC",2.79945023663266e-69,1.0740954160308,0.582,0.348,7.48489009768475e-65
"DANT2",6.83445906497018e-65,-0.75345938458072,0.511,0.74,1.82732932020108e-60
"RP11-428O18.6",3.98180925152291e-61,-1.63907842035886,0.114,0.313,1.06461633957968e-56
"RP11-4B14.3",1.29813134129873e-58,-2.00629539515806,0.084,0.261,3.47081376723042e-54
"TMEM72-AS1",9.21037854817147e-58,-1.70981748818938,0.097,0.281,2.46257891242461e-53
"RP11-284M14.1",8.80006823270351e-57,-1.19084217922778,0.289,0.497,2.35287424337794e-52
"LINC01376",6.77050951067973e-55,-1.59314437612572,0.118,0.302,1.81023112787044e-50
"RP11-561I11.4",1.1644114850614e-50,-1.97148639040575,0.049,0.194,3.11328698760865e-46
"FAM66D",1.88011573726772e-48,-1.18161063457502,0.223,0.418,5.0268654467327e-44
"LINC01481",1.07008797006526e-46,-1.67974613972363,0.139,0.305,2.86109420556349e-42
"ADAMTS9-AS2",8.08841550266226e-46,0.734576249948264,0.704,0.547,2.16259965294681e-41
"RP11-403A3.3",3.29695168684595e-43,1.16840271099781,0.406,0.221,8.81505972512002e-39
"F11-AS1",3.69566832833316e-40,-2.695182629689,0.023,0.125,9.88110840946438e-36
"AC009120.4",2.39250811845528e-38,-1.12093149881067,0.178,0.343,6.39684895631388e-34
"LINC00862",1.62243634676468e-37,1.77901775445376,0.186,0.057,4.33790806034473e-33
"RP11-679C8.2",1.81750836829401e-36,-0.917675996859966,0.303,0.467,4.85947212430769e-32
"RP11-72M17.1",4.34971400524541e-36,-1.62857997325423,0.05,0.165,1.16298303358247e-31
"RFX3-AS1",8.71306500875796e-34,-0.743144689555783,0.395,0.561,2.32961219139162e-29
"RP11-436D23.1",3.13827857903038e-33,-0.90951354845755,0.266,0.432,8.39081543675353e-29
"AZIN1-AS1",4.64115846970067e-33,-0.880565799796818,0.261,0.427,1.24090654004387e-28
"MALAT1",1.05874294996093e-32,-0.294867859566828,1,1,2.83076102531054e-28
"LINC00499",4.69140913766746e-32,1.4899199383955,0.367,0.229,1.25434206113815e-27
"AQP4-AS1",1.32127841458187e-31,-0.773751260288711,0.465,0.62,3.53270209706755e-27
"RP11-736K20.5",2.68386183372223e-31,-2.11755812665843,0.029,0.118,7.17584138482312e-27
"RP11-776H12.1",5.82931286143021e-31,-0.613567617545188,0.493,0.637,1.5585833797606e-26
"RP11-522B15.3",1.11148580122304e-29,-1.37038471583357,0.069,0.18,2.97177958673004e-25
"UFL1-AS1",8.34830294830152e-29,-1.34585811251219,0.114,0.235,2.23208575928738e-24
"LINC00461",2.16673689949202e-28,-0.472577225994842,0.664,0.764,5.79320444817182e-24
"LINC01094",4.75666580983239e-28,0.586039331244665,0.56,0.412,1.27178973757489e-23
"RP11-181B18.1",8.54395697756487e-28,-1.16291899826474,0.069,0.177,2.28439777709152e-23
"LINC01088",7.11349575971727e-27,0.355971290172644,0.953,0.905,1.90193536127561e-22
"RP11-627D16.1",9.9643739365335e-25,-0.506385302774546,0.654,0.766,2.66417465941096e-20
"CTC-498M16.2",4.34110082159997e-24,-1.12423249056965,0.104,0.214,1.16068012667118e-19
"RP11-665G4.1",6.3716004754917e-24,-1.22941922582078,0.143,0.258,1.70357481913222e-19
"RP11-692D12.1",1.86972587260782e-23,-0.588310557137262,0.298,0.445,4.99908606559153e-19
"PARD6G-AS1",2.89624895279999e-23,1.68076131703964,0.131,0.045,7.74370082510133e-19
"FAM66C",3.52643077823371e-23,-0.828507429215709,0.166,0.292,9.42861797176348e-19
"C8orf37-AS1",1.07661309761447e-22,-1.10816428584894,0.148,0.261,2.87854043909182e-18
"AC105402.4",1.95974896473614e-22,0.51043185268523,0.584,0.443,5.23978080701503e-18
"RP4-565E6.1",1.20783302665552e-21,-0.765428716305775,0.161,0.282,3.22938316336888e-17
"LINC00271",1.98558948352668e-21,-0.840205495721234,0.164,0.278,5.30887060210529e-17
"KB-1460A1.5",3.6061398831304e-21,1.46804111945589,0.122,0.042,9.64173620552575e-17
"RP4-625H18.2",4.12509029628358e-21,-0.774616006361481,0.27,0.394,1.10292539251734e-16
"CRNDE",1.21128213285666e-20,0.743485651852492,0.352,0.225,3.23860503861885e-16
"RP11-323I15.5",2.55375464447055e-20,-0.871936271182982,0.158,0.268,6.8279737929209e-16
"THUMPD3-AS1",3.16982631146584e-20,0.811822105946837,0.317,0.2,8.47516460896621e-16
"RP11-3B12.2",6.4655958079923e-20,-1.10674732247896,0.145,0.247,1.7287063511829e-15
"SNAP25-AS1",9.94864521929483e-20,1.46318711842095,0.143,0.06,2.65996927228286e-15
"LIFR-AS1",1.66242178417692e-19,-1.16510337065772,0.071,0.156,4.44481712435382e-15
"RP11-326I11.4",1.96400655901258e-19,-1.37934893428933,0.048,0.122,5.25116433683194e-15
"RP11-307B6.3",3.71565407825323e-19,-1.3671882640575,0.042,0.113,9.93454430902567e-15
"MEF2C-AS1",4.41694055951457e-19,-0.597527835073763,0.341,0.461,1.18095739739741e-14
"AC004158.3",5.6962944854941e-19,-0.819371575344066,0.124,0.225,1.52301825658656e-14
"PVRL3-AS1",4.018226270231e-18,-1.4973446565229,0.037,0.101,1.07435315787166e-13
"RP11-436K8.1",6.86088170778848e-18,-0.488301462017779,0.411,0.53,1.83439394221141e-13
"TMEM161B-AS1",2.16746213143668e-17,0.391866793761778,0.812,0.756,5.79514350082224e-13
"LINC01572",2.43683279260108e-17,-0.908412020177851,0.098,0.188,6.51535983757752e-13
"U91319.1",2.78571686232843e-17,1.53148519836106,0.126,0.053,7.44817117480752e-13
"RP11-133F8.2",3.07021385000177e-17,-0.606473731450388,0.3,0.415,8.20883077074974e-13
"LINC00907",3.78754153661438e-17,1.6489146153062,0.148,0.07,1.01267498064459e-12
"RP11-26J3.1",5.18424226746831e-17,-0.754489705321827,0.198,0.303,1.386110855053e-12
"RP11-418I22.3",7.4251877627109e-17,1.49091248220385,0.1,0.036,1.98527245211601e-12
"DNAJC27-AS1",1.41700007437281e-16,-0.827439667670952,0.131,0.224,3.78863309885059e-12
"RP11-554F20.1",1.43686177560694e-16,-1.02892185489733,0.127,0.216,3.84173732944028e-12
"RP11-319G6.1",2.44871115736384e-16,-0.519199756366305,0.402,0.511,6.5471190214437e-12
"NR2F2-AS1",2.93065295147497e-16,-0.441838392273518,0.364,0.492,7.83568679635863e-12
"RP11-266O8.1",3.56786067962623e-16,-0.636954813463245,0.29,0.4,9.53938909911666e-12
"CTD-2282P23.2",3.59137557268216e-16,-1.42479598665881,0.039,0.1,9.60226086868028e-12
"LINC01266",6.9459310729508e-16,-0.797537859843202,0.165,0.263,1.85713359097486e-11
"FAM157C",7.42343178928291e-16,-0.77259214313614,0.159,0.255,1.98480295750057e-11
"AC003991.3",7.61983214685893e-16,0.970482718301976,0.175,0.091,2.03731452110567e-11
"RP11-317N12.1",1.28156252151625e-15,-0.736493080145186,0.188,0.286,3.42651371377801e-11
"RP5-864K19.4",1.29402797425212e-15,0.423214768951425,0.517,0.401,3.45984259475789e-11
"AC015691.13",1.82908352844254e-15,0.707655737092261,0.202,0.113,4.89042062999682e-11
"RP11-545I5.3",2.300635140045e-15,-0.831511497587837,0.157,0.249,6.1512081739383e-11
"DPH6-AS1",2.36352573591364e-15,0.362714987269358,0.591,0.471,6.31935876011231e-11
"RP11-478B9.1",4.1221741563756e-15,-1.0577160027779,0.079,0.153,1.10214570419014e-10
"RP11-57H12.3",4.78346533282328e-15,-1.21564415579797,0.049,0.112,1.27895512603696e-10
"CTC-444N24.11",9.24494198861134e-15,0.655802784998831,0.332,0.231,2.47182013949501e-10
"ZNF337-AS1",1.08363254087849e-14,-0.877053153866859,0.076,0.15,2.89730832454681e-10
"RP11-9G1.3",1.2819487401029e-14,-0.748061740555391,0.17,0.263,3.42754634641313e-10
"RP11-10L12.4",1.52335161115106e-14,1.09780097300232,0.129,0.06,4.07298520273458e-10
"AC144449.1",2.14928757459519e-14,-0.89376378163616,0.084,0.158,5.74655018819516e-10
"RP11-440L14.1",3.16662480855186e-14,0.564935160009036,0.39,0.289,8.4666047506251e-10
"AC007682.1",6.19034877702e-14,-1.47446706477961,0.051,0.111,1.65511355251184e-09
"RP3-331H24.5",1.03296088687713e-13,0.778056390888763,0.193,0.112,2.76182752324337e-09
"GLIDR",1.53225855066051e-13,-0.895881785627144,0.118,0.197,4.096799686901e-09
"GMDS-AS1",1.97274286660793e-13,-0.459573308608004,0.48,0.56,5.27452260244963e-09
"ENTPD1-AS1",2.49428943642243e-13,-0.566836335077099,0.476,0.548,6.66898166616264e-09
"CASC2",3.03749305318046e-13,-0.50340333937412,0.333,0.435,8.12134517628859e-09
"NUP50-AS1",4.54569009725437e-13,0.583154674185794,0.3,0.205,1.2153811613029e-08
"PKN2-AS1",4.66360903407347e-13,-1.13229359368465,0.081,0.148,1.24690914744022e-08
"BDNF-AS",5.83102072685059e-13,-0.644759916137785,0.239,0.33,1.55904001173804e-08
"RP5-965F6.2",7.71233305044436e-13,-0.543162778763038,0.294,0.391,2.06204648769731e-08
"RP3-399L15.3",1.15510114153696e-12,-0.812515279509547,0.083,0.151,3.08839392212737e-08
"CH17-360D5.2",1.18959996705787e-12,1.06828754155354,0.136,0.07,3.18063343192264e-08
"RAP2C-AS1",1.32950408878261e-12,-0.942733247104094,0.088,0.157,3.55469508217806e-08
"RP11-77K12.4",3.20446166970716e-12,1.03302733592414,0.134,0.069,8.56776916629603e-08
"RP11-617F23.1",3.54975049663664e-12,-0.740132620508007,0.088,0.156,9.49096790285737e-08
"AC002117.1",3.60138175455373e-12,-0.760606669499496,0.131,0.208,9.62901439715031e-08
"RP11-404I7.2",7.82998937447016e-12,-0.779348205893904,0.161,0.238,2.09350425905209e-07
"CTD-2007H13.3",8.0901431938012e-12,-0.534885391480411,0.291,0.382,2.16306158572663e-07
"RASSF8-AS1",9.98808474584128e-12,-0.596512389124154,0.197,0.282,2.67051421849558e-07
"RNF219-AS1",1.69567718153061e-11,-0.288966762381747,0.916,0.909,4.53373208025839e-07
"SUCLG2-AS1",2.24670574639807e-11,-0.407504200711931,0.323,0.418,6.00701715414453e-07
"CH507-513H4.1",9.03550448896721e-11,0.264777585757159,0.711,0.64,2.41582283521516e-06
"RP11-799O21.2",9.64158117498562e-11,-0.631217770306154,0.146,0.22,2.57786955875591e-06
"RP11-461O7.1",1.34346412500748e-10,-0.752997673301843,0.111,0.178,3.5920200310325e-06
"AC016831.7",1.46503893673168e-10,0.673921684300138,0.309,0.234,3.91707460513949e-06
"AP000318.2",1.51721818012823e-10,0.879908917557052,0.118,0.062,4.05658624820885e-06
"RP11-464F9.21",5.93238495530789e-10,-0.705178488416651,0.067,0.122,1.58614176550067e-05
"LINC00467",6.51196558092476e-10,-0.802621322611271,0.063,0.116,1.74110423737185e-05
"RP5-1021I20.5",7.18499675749831e-10,0.964042873169588,0.133,0.076,1.92105258305232e-05
"CTB-113P19.1",1.03526040651833e-09,1.15916654264801,0.109,0.059,2.76797574890807e-05
"LINC00667",1.28907526157209e-09,0.681944281498013,0.135,0.077,3.44660052686529e-05
"RP3-414A15.10",2.0057621681787e-09,0.770744788767959,0.136,0.079,5.36280630905939e-05
"RP11-370I10.6",2.67727957951789e-09,-0.67571351262316,0.144,0.21,7.15824241175697e-05
"LINC01338",2.69786908623085e-09,0.787467212264818,0.128,0.073,7.21329257585542e-05
"LINC00632",3.93953867688711e-09,0.614595496300942,0.194,0.128,0.000105331445603931
"AC026188.1",4.89202455532135e-09,-0.693092604215612,0.089,0.145,0.000130798060535627
"CTD-2215E18.1",5.97814473287456e-09,-0.689098327817233,0.173,0.24,0.000159837655722867
"UNQ6494",6.35035502250625e-09,-0.94843760928866,0.061,0.109,0.00016978944223675
"CTD-3131K8.2",6.38237076593884e-09,0.751847841246358,0.15,0.093,0.000170645447168907
"RP11-138A9.2",6.41452970379936e-09,0.78343588392822,0.134,0.079,0.000171505280690484
"RP3-525N10.2",6.49497530419055e-09,-0.494888541827181,0.212,0.284,0.000173656154708143
"SLC6A1-AS1",6.65590571823477e-09,-0.461420728789116,0.136,0.202,0.000177958951188443
"RP11-230B22.1",1.15713553733797e-08,0.565872689378496,0.249,0.18,0.000309383328618053
"CTC-255N20.1",1.224547145204e-08,0.793993798247745,0.103,0.056,0.000327407170213194
