"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"CH17-189H20.1",1.5936304833099e-16,1.15772397443019,0.906,0.713,4.26088982322569e-12
"RP4-625H18.2",4.52148987429931e-15,-0.926828562267718,0.845,0.948,1.20891074769141e-10
"DANT2",1.56297855092172e-12,-0.893840918452868,0.683,0.897,4.17893575159939e-08
"PARD6G-AS1",2.811399542786e-12,1.88289027865644,0.502,0.172,7.51683895754692e-08
"RP11-154H12.3",4.29950799278423e-12,-2.60166686075275,0.068,0.31,1.14955945203072e-07
"FAM167A-AS1",2.09115170390754e-11,-1.42792832720842,0.374,0.632,5.59111231073758e-07
"RP11-597D13.9",2.12968337935161e-11,2.15970313637976,0.46,0.161,5.69413445137241e-07
"AC002117.1",4.35763766458727e-11,-1.301430478606,0.234,0.523,1.1651015823807e-06
"MIR99AHG",7.31495250041936e-10,0.449051686764124,0.981,0.989,1.95579885003712e-05
"TEX41",1.06446820659648e-09,-2.02167928679645,0.14,0.379,2.84606864397702e-05
"AC016768.1",3.2547081515496e-09,-1.63699809749284,0.109,0.339,8.70211318479816e-05
"RP11-16P20.3",6.37236091046232e-09,-3.45262255821399,0.011,0.155,0.000170377813663031
"RP4-718N17.2",9.10821656982310e-09,-1.65323910794254,0.087,0.299,0.00024352638642736
"RP11-522B15.3",5.22529305446818e-08,-2.28969937588559,0.057,0.23,0.00139708660397316
"OLMALINC",6.18303826432334e-08,0.905276454641624,0.725,0.471,0.00165315894073213
"RP11-770E5.1",1.10212047718573e-07,-3.04184982430022,0.023,0.161,0.00294673951985148
"CTD-2651B20.3",1.44041202713179e-07,-2.95510987941804,0.019,0.149,0.00385122963694227
"RP11-489E7.4",2.92547586225327e-07,-2.59244068935754,0.045,0.195,0.00782184481290656
"LINC01004",3.239900703513e-07,0.930852563884403,0.638,0.425,0.0086625225109827
"RNF219-AS1",3.82653193380029e-07,2.08672064453655,0.377,0.167,0.0102309984314018
"LINC00623",4.19561215169907e-07,1.36758517711509,0.453,0.218,0.0112178082099978
"RP11-729M20.1",4.56023426529793e-07,-2.47115948763016,0.057,0.213,0.0121926983551271
"LINC00862",4.92409921054917e-07,3.03369662642417,0.174,0.017,0.0131655640592453
"RP11-569G13.3",5.89065309498192e-07,-1.59648735829534,0.136,0.322,0.0157498391800532
"RP5-921G16.1",8.1625864123015e-07,1.94072506676033,0.302,0.103,0.0218243072905705
"CTD-2562J15.6",9.19100087748298e-07,-1.07518624738122,0.291,0.489,0.0245739790461263
"RP11-355I22.2",9.71390809124762e-07,-1.38562459469364,0.109,0.293,0.0259720760635688
"MALAT1",1.01158107720304e-06,-0.285579384513376,1,1,0.0270466432611777
"THUMPD3-AS1",1.28472220898425e-06,1.19736892462322,0.472,0.259,0.034349617701612
"CRNDE",1.36657513003274e-06,0.74241858318046,0.691,0.494,0.0365381192516854
"RP11-90C4.1",1.49435921632252e-06,1.80037428684825,0.358,0.155,0.0399546823668153
"MIAT",1.752938959869e-06,-1.13086029792144,0.238,0.443,0.0468683289700175
"OTX2-AS1",1.78631245857071e-06,2.44588217401558,0.219,0.052,0.0477606362048051
"LINC01354",1.83166709541978e-06,-1.24417691331395,0.242,0.425,0.0489732831302386
"MIR4300HG",3.02266325157192e-06,1.25758965437502,0.611,0.431,0.0808169473572784
"RP11-4B14.3",3.05028422912815e-06,-1.87388811762341,0.079,0.23,0.0815554494341994
"CDR1-AS",3.62498964662839e-06,0.895845938372496,0.362,0.149,0.0969213481819031
"RP11-1191J2.5",3.71986637456287e-06,-2.09686971945345,0.015,0.121,0.0994580672566873
"AC093375.1",3.78888809771815e-06,-1.39230578547196,0.185,0.374,0.10130350106869
