"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"RP11-556E13.1",2.3068296960546e-100,1.13855924976542,0.889,0.699,6.16777055834117e-96
"MALAT1",5.14122849312172e-64,-0.454934893364217,1,1,1.37461026220595e-59
"RP11-693J15.5",2.08496172731218e-29,3.03259872533981,0.144,0.018,5.57456217031458e-25
"NEAT1",3.55549631285419e-28,0.359659958643908,0.995,0.995,9.50633049167826e-24
"LMCD1-AS1",8.27144408427682e-25,-1.66269239898787,0.058,0.162,2.21153600481309e-20
"DPYD-AS1",6.29895232819996e-21,1.55885700614423,0.182,0.061,1.68415088399082e-16
"RP11-480C22.1",2.77654141563538e-20,-0.861145214423013,0.225,0.368,7.42363878298431e-16
"MIR99AHG",4.29151289697042e-17,-0.484078691516363,0.612,0.704,1.14742180326298e-12
"CTC-575N7.1",7.34285981079696e-17,-1.39043351281943,0.073,0.163,1.96326042761278e-12
"RP11-142C4.6",8.40973913451647e-16,1.75972252871886,0.113,0.03,2.24851195239567e-11
"GMDS-AS1",8.41151704067607e-16,-0.655254160627252,0.448,0.553,2.24898731116556e-11
"RP11-563J2.2",4.00152910446046e-15,-1.12009401351344,0.118,0.214,1.06988883665959e-10
"RP11-552D4.1",6.87604868689371e-15,0.694598275912368,0.334,0.195,1.83844913741477e-10
"FAM157C",7.14944445982241e-15,-0.607175690123759,0.393,0.499,1.91154696522272e-10
"RP11-452H21.1",6.91417226294429e-14,0.508961760246659,0.378,0.237,1.84864223794342e-09
"RP11-72M17.1",6.93752763688375e-14,-2.21321433531882,0.021,0.07,1.85488676427361e-09
"LINC00862",9.51690168484139e-14,1.50037711026183,0.124,0.043,2.54453400347604e-09
"RP11-41O4.1",2.26298877836215e-13,1.16954392258945,0.175,0.08,6.05055309670688e-09
"RP11-707P17.1",4.34765653860091e-13,0.492052623524881,0.327,0.2,1.16243292872573e-08
"AC006160.5",4.81846548231578e-13,1.22927630168583,0.107,0.033,1.28831311600677e-08
"XIST",1.13327702391399e-12,-1.00297515827579,0.072,0.147,3.03004277883884e-08
"Z83844.1",5.66830164484996e-12,1.0927503846019,0.114,0.04,1.51553381078353e-07
"RAP2C-AS1",6.048330765587e-12,-1.401994368415,0.058,0.123,1.617142196795e-07
"RP11-16C1.3",1.11933729901845e-11,0.594860374452004,0.285,0.169,2.99277213638562e-07
