"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"NEAT1",0,1.33952235930741,0.996,0.989,0
"LMCD1-AS1",3.88115585033646e-185,-0.870682664950215,0.864,0.963,1.03770463970446e-180
"MIR219A2",3.54380157664141e-177,-1.47471034195971,0.563,0.816,9.47506227546613e-173
"LINC01505",1.87182703934822e-132,-1.08840217391706,0.675,0.861,5.00470395510535e-128
"AC093590.1",9.05864455105109e-96,-1.35452621064615,0.23,0.487,2.42200979361453e-91
"OLMALINC",8.75665997394668e-92,0.981053637814298,0.775,0.608,2.34126817723412e-87
"LUCAT1",6.56119663435531e-90,1.84094725075504,0.411,0.182,1.75426714412758e-85
"RP11-202K23.1",4.51387071860266e-80,1.0911436748469,0.485,0.233,1.20687361403279e-75
"RP11-298D21.1",5.00078668597053e-80,0.740081002870587,0.819,0.647,1.33706033622794e-75
"FAM66D",9.41277404209096e-80,-1.12721059275057,0.321,0.546,2.51669339563386e-75
"RP4-613B23.1",1.11350748868211e-77,-1.54808156930518,0.346,0.54,2.97718497248937e-73
"LINC00862",5.55175244953814e-77,1.18289956952234,0.539,0.312,1.48437205243301e-72
"LINC00609",2.12883358841388e-73,-0.3230452692874,0.986,0.995,5.69186236534219e-69
"RFX3-AS1",1.48726480085263e-71,-1.00383352981088,0.346,0.569,3.97649989803968e-67
"CTC-340A15.2",3.95725934748031e-70,-5.55727715395089,0.019,0.145,1.05805243173581e-65
"CTD-2130O13.1",1.30710319318447e-68,1.77036010801302,0.368,0.171,3.49480180761732e-64
"AC144449.1",1.33539346075033e-67,-1.01874221279614,0.278,0.495,3.57044149600817e-63
"MIR325HG",8.71983532352296e-66,-0.835435058052859,0.464,0.669,2.33142237045033e-61
"RP11-580I1.2",5.63883792818215e-60,1.43937231692641,0.277,0.101,1.50765609685806e-55
"LINC01376",4.26081735118118e-59,-2.05689179368346,0.056,0.197,1.13921473518531e-54
"LINC01170",2.83744740736597e-56,-0.749397234465096,0.599,0.753,7.58648313307439e-52
"RP11-557H15.4",1.63968631009542e-55,-1.58357950071959,0.097,0.254,4.38402928730212e-51
"LINC00499",2.46356919004662e-54,3.00062086916643,0.222,0.078,6.58684494342765e-50
"MIR2052HG",9.84722955681027e-54,1.34211016275349,0.33,0.153,2.63285376660436e-49
"RP11-584P21.2",1.94962115494378e-53,1.70292908421274,0.259,0.101,5.21270208197319e-49
