"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"LINC00882",8.55573007022919e-33,1.90003358078162,0.541,0.219,2.28754554887718e-28
"ADAMTS9-AS2",6.44611991509532e-30,0.867287668594278,0.892,0.659,1.72349908169904e-25
"RP11-714L20.1",3.45567242027371e-18,1.78616919955808,0.424,0.209,9.23943135008583e-14
"RP3-331H24.5",1.6927149719007e-15,1.11110227734911,0.477,0.266,4.52581202037091e-11
"RP11-714G18.1",2.9263318975562e-14,1.66729308906937,0.224,0.066,7.824133594496e-10
"RBMS3-AS3",7.18842473513704e-14,0.990509017674526,0.552,0.359,1.92196912143359e-09
"NEAT1",1.28012562333207e-13,0.516841824184104,0.985,0.992,3.42267187910297e-09
"AC015691.13",1.85841535909501e-12,1.30417522366962,0.352,0.176,4.96884514561234e-08
"AC016831.7",2.19521659161592e-12,1.40417942626137,0.279,0.118,5.86935060100348e-08
"GMDS-AS1",1.89738802205961e-10,-0.75560369212029,0.319,0.5,5.07304635458077e-06
"CARMN",2.75858873333082e-10,-0.583506954096174,0.65,0.762,7.37563869630662e-06
"AC018890.6",5.79379793861926e-10,0.715217002671841,0.543,0.375,1.54908775484863e-05
"AC007319.1",9.47191402954626e-10,0.901537751212853,0.406,0.239,2.53250565407978e-05
"SLC6A1-AS1",9.69025663920233e-10,0.393216766578125,0.45,0.276,2.59088391762353e-05
"RP11-197K3.1",1.32253872994176e-09,1.5574360125937,0.206,0.083,3.53607180224527e-05
"C1orf132",4.43973397269423e-09,0.65419513999375,0.569,0.422,0.000118705167227926
"MIR4435-2HG",2.13841130896671e-08,-0.347999350734689,0.78,0.831,0.00057174703167843
"AC072062.1",3.15527406336717e-07,-0.985957854122003,0.068,0.169,0.00843625626322479
"DPH6-AS1",3.70701429065913e-07,0.968971191239117,0.213,0.103,0.00991144410893531
"RP13-143G15.4",5.76440228175389e-07,0.874354362618994,0.517,0.394,0.0154122823807254
"RAP2C-AS1",6.86937893046665e-07,-1.52692539870118,0.039,0.118,0.0183666584463887
"AC093110.3",1.0645924426979e-06,1.41538905080504,0.125,0.045,0.0284640081404139
