,gene,cluster_id,baseMean,logFC,lfcSE,stat,p_val,p_adj.loc,p_adj.glb,contrast
1,RP11-34P13.7,OPALIN+ Oligodendrocytes,21.7,0.241,0.47,0.513,0.608,0.865,0.905,PD
2,RP11-206L10.9,OPALIN+ Oligodendrocytes,121,-0.154,0.191,-0.807,0.42,0.756,0.815,PD
3,RP5-832C2.5,OPALIN+ Oligodendrocytes,13.6,0.732,0.42,1.74,0.081,0.351,0.439,PD
4,RP11-345P4.9,OPALIN+ Oligodendrocytes,29.6,0.0421,0.441,0.0956,0.924,0.967,0.986,PD
5,RP11-431K24.1,OPALIN+ Oligodendrocytes,15.6,-0.269,0.343,-0.785,0.433,0.765,0.824,PD
6,RP4-635E18.7,OPALIN+ Oligodendrocytes,13.5,0.311,0.373,0.834,0.404,0.741,0.806,PD
7,FLJ37453,OPALIN+ Oligodendrocytes,65.2,-0.0761,0.38,-0.2,0.841,0.949,0.97,PD
8,RP4-798A10.2,OPALIN+ Oligodendrocytes,11.4,0.379,0.497,0.762,0.446,0.771,0.829,PD
9,RP4-798A10.7,OPALIN+ Oligodendrocytes,7.97,-1.54,0.635,-2.42,0.0157,NA,0.202,PD
10,RP1-43E13.2,OPALIN+ Oligodendrocytes,171,0.299,0.232,1.29,0.198,0.545,0.639,PD
11,RP1-184J9.2,OPALIN+ Oligodendrocytes,10.9,0.499,0.511,0.975,0.329,NA,0.758,PD
12,LINC01355,OPALIN+ Oligodendrocytes,59.2,-0.0581,0.291,-0.2,0.842,0.949,0.97,PD
13,ZNF436-AS1,OPALIN+ Oligodendrocytes,18.9,-0.269,0.349,-0.772,0.44,0.768,0.827,PD
14,TCEB3-AS1,OPALIN+ Oligodendrocytes,142,0.0794,0.185,0.429,0.668,0.886,0.924,PD
15,RP11-70P17.1,OPALIN+ Oligodendrocytes,9.53,0.086,0.51,0.169,0.866,NA,0.977,PD
16,RP3-476K8.3,OPALIN+ Oligodendrocytes,17.9,0.443,0.392,1.13,0.259,0.617,0.698,PD
17,RP5-1092A3.4,OPALIN+ Oligodendrocytes,9.44,-0.0684,0.44,-0.156,0.876,NA,0.979,PD
18,SNHG12,OPALIN+ Oligodendrocytes,30.5,0.473,0.388,1.22,0.223,0.582,0.67,PD
19,MATN1-AS1,OPALIN+ Oligodendrocytes,35.6,-0.115,0.265,-0.432,0.666,0.886,0.923,PD
20,RP11-266K22.2,OPALIN+ Oligodendrocytes,20.6,0.0837,0.362,0.231,0.817,0.944,0.965,PD
21,RP11-84A19.4,OPALIN+ Oligodendrocytes,17.6,1.39,0.399,3.48,0.00051,0.0205,0.0249,PD
22,RP11-277A4.4,OPALIN+ Oligodendrocytes,18.8,0.54,0.348,1.55,0.121,0.42,0.515,PD
23,RP1-117O3.2,OPALIN+ Oligodendrocytes,17.5,0.494,0.483,1.02,0.306,0.661,0.74,PD
24,RP11-415J8.3,OPALIN+ Oligodendrocytes,18.2,0.461,0.555,0.83,0.407,0.744,0.808,PD
25,RP4-665N4.8,OPALIN+ Oligodendrocytes,21.1,0.574,0.502,1.14,0.253,0.61,0.694,PD
26,LINC01137,OPALIN+ Oligodendrocytes,34.6,-0.322,0.308,-1.04,0.297,0.652,0.733,PD
27,RP11-109P14.10,OPALIN+ Oligodendrocytes,23.9,0.458,0.618,0.74,0.459,0.779,0.837,PD
28,RP5-864K19.4,OPALIN+ Oligodendrocytes,416,0.375,0.251,1.49,0.135,0.447,0.54,PD
29,RP1-39G22.7,OPALIN+ Oligodendrocytes,26.7,0.0792,0.332,0.238,0.812,0.943,0.963,PD
30,RP11-656D10.3,OPALIN+ Oligodendrocytes,95.5,0.154,0.242,0.637,0.524,0.829,0.872,PD
