"gene","cluster_id","logFC","p_val","p_adj.loc"
"F11-AS1","Astrocytes",-2.53,2.58e-09,1.04e-06
"RP11-243A14.1","Astrocytes",2.17,3.29e-09,1.04e-06
"LINC00907","Astrocytes",2.08,1.81e-09,1.04e-06
"RP11-418I22.3","Astrocytes",1.95,1.37e-06,0.000323
"RP11-306O13.1","Astrocytes",-2.77,1.97e-06,0.000355
"LINC01481","Astrocytes",-1.34,2.63e-06,0.000355
"U91319.1","Astrocytes",1.81,2.51e-06,0.000355
"RP11-4B14.3","Astrocytes",-1.66,4.95e-06,0.00052
"CTC-498M16.4","Astrocytes",-1.3,4.82e-06,0.00052
"LINC00299","Astrocytes",-0.903,1.69e-05,0.00133
"CPEB1-AS1","Astrocytes",1.39,1.43e-05,0.00133
"LINC00159","Astrocytes",1.76,1.6e-05,0.00133
"LINC00862","Astrocytes",1.74,2.29e-05,0.00154
"RP11-6O2.3","Astrocytes",1.85,2.25e-05,0.00154
"NEAT1","Astrocytes",1.43,2.87e-05,0.00181
"RP11-522B15.3","Astrocytes",-1.25,4.64e-05,0.00274
"AC012593.1","Astrocytes",-1.7,5.11e-05,0.00284
"LINC01094","Astrocytes",0.855,0.000117,0.00615
"RP11-469A15.2","Astrocytes",1.71,0.000129,0.00628
"UFL1-AS1","Astrocytes",-1.04,0.000144,0.00628
"RP11-317J19.1","Astrocytes",1.11,0.000146,0.00628
"RP11-418I22.2","Astrocytes",1.81,0.000142,0.00628
"RP11-624L4.1","Astrocytes",1.31,0.000169,0.00694
"RP11-307B6.3","Astrocytes",-1.33,0.000221,0.00751
"LINC01376","Astrocytes",-1.12,0.000207,0.00751
"LINC01239","Astrocytes",-1.42,0.00023,0.00751
"RP11-305L7.3","Astrocytes",1.98,0.000216,0.00751
"TMEM72-AS1","Astrocytes",-1.22,0.000227,0.00751
"LINC00640","Astrocytes",1.82,0.000225,0.00751
"TMCC1-AS1","Astrocytes",1.32,0.000274,0.00836
"RP11-736K20.5","Astrocytes",-1.7,0.000271,0.00836
"KB-1460A1.5","Astrocytes",1.47,0.000339,0.00992
"RP5-1021I20.5","Astrocytes",0.933,0.000347,0.00992
"RP11-57H12.3","Astrocytes",-1.05,0.000378,0.0105
