"","RNA.g0","RNA.g1","RNA.g2","RNA.g3","RNA.g4","RNA.g5","RNA.g6","RNA.g7","RNA.g8","RNA.g9","RNA.g10","RNA.g11","RNA.g12"
"RP11-34P13.7",0.0582498939282298,0.0579778681007159,0.0536154245266303,0.0618144770042347,0.122960496532014,0.0379563798758459,0.0273406533425389,0.0498038696275054,0.0582240913284748,0.044516781500451,0.0789554177075524,0.125193771560043,0.0254918005623491
"RP5-857K21.2",0.00275156441204734,0.00203675249662273,0.00415094420033795,0.00304783519972439,0.00162515854895861,0.00164046303976948,0.0020160636023202,0,0,0.0260701856483043,0.000628551472960093,0,0
"RP11-206L10.9",0.359428003217341,0.301558738869936,0.315808964607905,0.685761663415561,0.389437363343143,0.412826726792846,0.357996633396084,0.284158559292817,0.580740746235116,0.367888687764247,0.650661303413458,0.691516602039401,0.395759590826616
"LINC00115",0.0178102578265658,0.0102590509764862,0.0115749890962597,0.00709146388351243,0.0278849796745763,0.00978388499627678,0.0142551041393686,0.00514389759316656,0.0028242956248385,0.0198989893902614,0.0144307543964301,0,0
"FAM41C",0.00473377161140785,0.00634639282161191,0.00754694448380686,0.00246644716390168,0.00365055414131106,0.00162473861557509,0,0.00398811891068561,0.00634740797687388,0,0,0,0.0109340882227842
"RP11-54O7.16",0.000337359949234075,0.00106138104858047,0.0112966394588107,0.00638395101461156,0.0048670792955809,0.0105421046227335,0.00458785755636597,0.0462058665795588,0.00683979020804506,0.00209867728765268,0.00908630443507668,0,0
"RP11-54O7.3",0.00154813880593556,0,0.0516099736942408,0.0117793948150746,0,0.00078157801852465,0.000917432034341316,0.00101012304914936,0.0124612588907516,0,0.0276657838146564,0,0
"RP11-54O7.17",0.00127385871020486,0.000648933308855977,0.00692696121762903,0.00785769816654269,0.000724694343854856,0,0.0427998853855661,0.643483251900538,0.0149479335354764,0.00313501834299232,0.0212532429483773,0,0
"RP5-902P8.10",0.0242883108569573,0.0148717572050658,0.0221635680535529,0.0339574359093233,0.0155416348639836,0.0297199482820647,0.00401116402098867,0.0116730165835829,0.0490110928042858,0.0423404054582443,0.0325769311131891,0.0224793864026688,0.0371969840685317
"RP4-758J18.13",0.0225653675829551,0.0199667767616796,0.0268039011555657,0.0137908673071337,0.0217804215134076,0.0125848534109449,0.0123849396249536,0.00781241041103474,0.0171848494109184,0.0145369324916208,0.023447227611794,0.0917575322945733,0.0348059740973941
