"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene","symbol"
"ENSG00000253877",0,6.41086227492769,0.738,0.026,0,"0","ENSG00000253877","LINC01608"
"ENSG00000147488",0,1.8921830462796,0.991,0.317,0,"0","ENSG00000147488","ST18"
"ENSG00000136960",0,2.13866003348136,0.943,0.285,0,"0","ENSG00000136960","ENPP2"
"ENSG00000168314",0,1.78318573381421,0.93,0.283,0,"0","ENSG00000168314","MOBP"
"ENSG00000165959",0,2.5676307565089,0.947,0.336,0,"0","ENSG00000165959","CLMN"
"ENSG00000154678",0,2.65970988839986,0.953,0.351,0,"0","ENSG00000154678","PDE1C"
"ENSG00000164161",0,3.7329564564385,0.744,0.143,0,"0","ENSG00000164161","HHIP"
"ENSG00000183960",0,2.96152311568983,0.889,0.291,0,"0","ENSG00000183960","KCNH8"
"ENSG00000084453",0,2.48790882781901,0.85,0.257,0,"0","ENSG00000084453","SLCO1A2"
"ENSG00000164124",0,2.09228933434003,0.97,0.382,0,"0","ENSG00000164124","TMEM144"
"ENSG00000154493",0,1.90212601809372,0.947,0.359,0,"0","ENSG00000154493","C10orf90"
"ENSG00000204655",0,2.10222740327096,0.818,0.232,0,"0","ENSG00000204655","MOG"
"ENSG00000198597",0,2.34689673812,0.949,0.365,0,"0","ENSG00000198597","ZNF536"
"ENSG00000150656",0,2.77097976149314,0.783,0.206,0,"0","ENSG00000150656","CNDP1"
"ENSG00000285218",0,2.49644113284501,0.867,0.29,0,"0","ENSG00000285218","ENSG00000285218"
"ENSG00000091513",0,1.35917940389203,0.963,0.388,0,"0","ENSG00000091513","TF"
"ENSG00000184144",0,2.01639163399983,0.89,0.316,0,"0","ENSG00000184144","CNTN2"
"ENSG00000167123",0,2.68094388080656,0.868,0.296,0,"0","ENSG00000167123","CERCAM"
"ENSG00000174607",0,1.71792056025477,0.869,0.304,0,"0","ENSG00000174607","UGT8"
"ENSG00000065809",0,2.14923790733364,0.888,0.323,0,"0","ENSG00000065809","FAM107B"
"ENSG00000140479",0,1.23971060482834,0.851,0.29,0,"0","ENSG00000140479","PCSK6"
"ENSG00000183230",0,2.07305855145938,0.991,0.432,0,"0","ENSG00000183230","CTNNA3"
"ENSG00000078269",0,1.36468615512068,0.877,0.32,0,"0","ENSG00000078269","SYNJ2"
"ENSG00000117266",0,1.27054018932367,0.884,0.33,0,"0","ENSG00000117266","CDK18"
"ENSG00000149571",0,2.40252853439202,0.888,0.336,0,"0","ENSG00000149571","KIRREL3"
"ENSG00000124920",0,2.45989278698424,0.761,0.213,0,"0","ENSG00000124920","MYRF"
"ENSG00000135643",0,2.99377690214318,0.768,0.22,0,"0","ENSG00000135643","KCNMB4"
