"","gene","tau"
"RP3-340N1.2","RP3-340N1.2",1
"RP11-90P13.1","RP11-90P13.1",1
"RP11-297B17.3","RP11-297B17.3",1
"CTD-2383M3.1","CTD-2383M3.1",1
"AP005530.2","AP005530.2",1
"AC006129.2","AC006129.2",1
"CTB-61M7.2","CTB-61M7.2",1
"CH507-236L23.1","CH507-236L23.1",1
"AP001595.1","AP001595.1",1
"RP11-84A19.3","RP11-84A19.3",1
"DPYD-AS2","DPYD-AS2",1
"RP11-216N14.9","RP11-216N14.9",1
"RP11-25K21.1","RP11-25K21.1",1
"RP11-160H22.3","RP11-160H22.3",1
"RP11-63B19.1","RP11-63B19.1",1
"GM140","GM140",1
"PROX1-AS1","PROX1-AS1",1
"RP11-333O1.1","RP11-333O1.1",1
"AC009229.5","AC009229.5",1
"AC104654.1","AC104654.1",1
"AC123886.2","AC123886.2",1
"LINC01120","LINC01120",1
"AC068492.1","AC068492.1",1
"RP11-190J23.1","RP11-190J23.1",1
"AC007556.3","AC007556.3",1
"AC012513.6","AC012513.6",1
"AC093843.1","AC093843.1",1
"RP11-333B11.1","RP11-333B11.1",1
"RP11-456N14.4","RP11-456N14.4",1
"RP11-552M14.1","RP11-552M14.1",1
"PP12613","PP12613",1
"RP11-665C14.2","RP11-665C14.2",1
"RP11-18D7.2","RP11-18D7.2",1
"RP11-45I20.1","RP11-45I20.1",1
"CTD-2072I24.1","CTD-2072I24.1",1
"CTD-2074D8.1","CTD-2074D8.1",1
"CTD-2023N9.3","CTD-2023N9.3",1
"ADAMTS19-AS1","ADAMTS19-AS1",1
"CTC-264O10.2","CTC-264O10.2",1
"CTB-105L4.2","CTB-105L4.2",1
"CTB-37A13.1","CTB-37A13.1",1
"RP3-470L22.1","RP3-470L22.1",1
"RP11-125M16.1","RP11-125M16.1",1
"RP1-97J1.2","RP1-97J1.2",1
"RP11-497D6.3","RP11-497D6.3",1
"XX-C2158C6.1","XX-C2158C6.1",1
"AC147651.5","AC147651.5",1
"AC010082.2","AC010082.2",1
"C7orf71","C7orf71",1
"AC006380.3","AC006380.3",1
"RP5-928E24.2","RP5-928E24.2",1
"FAM87A","FAM87A",1
"CTD-2281E23.1","CTD-2281E23.1",1
"CTD-2647L4.5","CTD-2647L4.5",1
"RP11-33I11.2","RP11-33I11.2",1
"RP1-16A9.1","RP1-16A9.1",1
"RP11-22C11.2","RP11-22C11.2",1
"RP11-91N2.3","RP11-91N2.3",1
"XXyac-YM21GA2.3","XXyac-YM21GA2.3",1
"RP11-399H11.3","RP11-399H11.3",1
"RP11-583F24.8","RP11-583F24.8",1
"RP4-710M3.2","RP4-710M3.2",1
"RP11-169D4.2","RP11-169D4.2",1
"RP3-323N1.2","RP3-323N1.2",1
"RP11-214D15.2","RP11-214D15.2",1
"RP13-81N3.2","RP13-81N3.2",1
"RERG-AS1","RERG-AS1",1
"RP11-89H19.2","RP11-89H19.2",1
"RP11-128P10.1","RP11-128P10.1",1
"RP13-653N12.2","RP13-653N12.2",1
"RP11-199F6.4","RP11-199F6.4",1
"RP11-219E7.1","RP11-219E7.1",1
"RP11-84C10.2","RP11-84C10.2",1
"RP6-91H8.2","RP6-91H8.2",1
"RP11-804L24.2","RP11-804L24.2",1
"RP11-753D20.3","RP11-753D20.3",1
"LINC00523","LINC00523",1
"RP11-1084I9.2","RP11-1084I9.2",1
"RP11-30G8.1","RP11-30G8.1",1
"RP11-209E8.1","RP11-209E8.1",1
"RP11-543G18.1","RP11-543G18.1",1
"RP11-297C4.1","RP11-297C4.1",1
"RP11-327F22.5","RP11-327F22.5",1
"CASC22","CASC22",1
"RP11-44F14.8","RP11-44F14.8",1
"RP11-405F3.5","RP11-405F3.5",1
"RP11-63M22.1","RP11-63M22.1",1
"RP11-328J14.1","RP11-328J14.1",1
"RP11-31I22.4","RP11-31I22.4",1
"RP11-31I22.2","RP11-31I22.2",1
"RP11-378E13.4","RP11-378E13.4",1
"CTB-39G8.2","CTB-39G8.2",1
"RP11-118B18.2","RP11-118B18.2",1
"RP11-756J15.3","RP11-756J15.3",1
"RP11-527H14.1","RP11-527H14.1",1
"RP11-396N11.1","RP11-396N11.1",1
"RP4-550H1.5","RP4-550H1.5",1
"LINC00489","LINC00489",1
"RP3-461P17.9","RP3-461P17.9",1
"RP5-955M13.4","RP5-955M13.4",1
"RP5-963E22.4","RP5-963E22.4",1
"CTD-3214H19.6","CTD-3214H19.6",1
"AC007795.1","AC007795.1",1
"CTD-2616J11.2","CTD-2616J11.2",1
"TTTY22","TTTY22",1
"TTTY13","TTTY13",1
"LINC00895","LINC00895",1
"LL22NC01-116C6.1","LL22NC01-116C6.1",1
"CTA-250D10.19","CTA-250D10.19",1
"CTA-384D8.35","CTA-384D8.35",1
"LINC00317","LINC00317",1
"RP11-324L17.1","RP11-324L17.1",1
"AC104809.2","AC104809.2",1
"RP3-448I9.2","RP3-448I9.2",1
"RP11-421P23.2","RP11-421P23.2",1
"RP11-67L3.5","RP11-67L3.5",1
"RP11-466F5.10","RP11-466F5.10",1
"AC007250.4","AC007250.4",1
"AC007879.4","AC007879.4",1
"RP11-457P14.5","RP11-457P14.5",1
"CTD-2078B5.2","CTD-2078B5.2",1
"RP11-401E14.2","RP11-401E14.2",1
"AC004543.2","AC004543.2",1
"LINC01298","LINC01298",1
"RP11-6D1.3","RP11-6D1.3",1
"AP006547.3","AP006547.3",1
"RP11-406A20.1","RP11-406A20.1",1
"IGF2-AS","IGF2-AS",1
"CTD-2019O4.1","CTD-2019O4.1",1
"RP11-190J1.3","RP11-190J1.3",1
"RP13-895J2.7","RP13-895J2.7",1
"LINC00572","LINC00572",1
"RP11-78J21.4","RP11-78J21.4",1
"LINC01069","LINC01069",1
"CTD-2314B22.1","CTD-2314B22.1",1
"RP11-594C13.2","RP11-594C13.2",1
"RP11-151G14.2","RP11-151G14.2",1
"RP11-758N13.1","RP11-758N13.1",1
"SPATA8-AS1","SPATA8-AS1",1
"RP11-426C22.7","RP11-426C22.7",1
"RP11-883G14.4","RP11-883G14.4",1
"CTD-2008P7.10","CTD-2008P7.10",1
"RP11-691H4.3","RP11-691H4.3",1
"RP5-872K7.8","RP5-872K7.8",1
"LINC00028","LINC00028",1
"RP5-963E22.6","RP5-963E22.6",1
"AC002511.2","AC002511.2",1
"AC002115.9","AC002115.9",1
"CTA-992D9.10","CTA-992D9.10",1
"CITF22-49E9.3","CITF22-49E9.3",1
"LINC01323","LINC01323",1
"PCAT4","PCAT4",1
"RP11-480D4.2","RP11-480D4.2",1
"RP1-67A8.3","RP1-67A8.3",1
"GS1-293C5.1","GS1-293C5.1",1
"RP4-584D14.6","RP4-584D14.6",1
"CTD-2003C8.2","CTD-2003C8.2",1
"RP11-218M22.2","RP11-218M22.2",1
"RP11-261P24.2","RP11-261P24.2",1
"RP11-441F2.5","RP11-441F2.5",1
"RP11-899L11.1","RP11-899L11.1",1
"RP3-333B15.4","RP3-333B15.4",1
"RP11-494O16.4","RP11-494O16.4",1
"RP11-171N4.4","RP11-171N4.4",1
"CTC-384G19.1","CTC-384G19.1",1
"CTD-2008P7.3","CTD-2008P7.3",1
"RP11-775G23.1","RP11-775G23.1",1
"AL589986.2","AL589986.2",1
"MIR7515HG","MIR7515HG",1
"RGPD4-AS1","RGPD4-AS1",1
"AC062032.1","AC062032.1",1
"RP11-319E12.1","RP11-319E12.1",1
"AC106786.1","AC106786.1",1
"RP1-276N6.2","RP1-276N6.2",1
"RP11-395B7.2","RP11-395B7.2",1
"AL022344.7","AL022344.7",1
"RP11-383D22.1","RP11-383D22.1",1
"RP5-1022P6.4","RP5-1022P6.4",1
"AJ011932.1","AJ011932.1",1
"LINC00239","LINC00239",1
"RP11-102C16.3","RP11-102C16.3",1
"RP11-203F10.5","RP11-203F10.5",1
"AC073257.2","AC073257.2",1
"RP11-351N6.1","RP11-351N6.1",1
"CTD-2335O3.3","CTD-2335O3.3",1
"RP11-456H18.2","RP11-456H18.2",1
"RP11-505P4.6","RP11-505P4.6",1
"RP1-122O8.7","RP1-122O8.7",1
"AC007349.7","AC007349.7",1
"DDC-AS1","DDC-AS1",1
"AC083867.4","AC083867.4",1
"RP11-17A4.4","RP11-17A4.4",1
"AC145123.2","AC145123.2",1
"C9orf135-AS1","C9orf135-AS1",1
"RP11-63P12.7","RP11-63P12.7",1
"RP11-327L9.1","RP11-327L9.1",1
"RP11-732A19.6","RP11-732A19.6",1
"RP11-713P17.4","RP11-713P17.4",1
"RP11-446F3.2","RP11-446F3.2",1
"RP11-271F18.1","RP11-271F18.1",1
"RP11-31E13.2","RP11-31E13.2",1
"RP5-944M2.1","RP5-944M2.1",1
"RP11-300A12.2","RP11-300A12.2",1
"LA16c-381G6.1","LA16c-381G6.1",1
"RP11-483K5.3","RP11-483K5.3",1
"RP11-571O6.1","RP11-571O6.1",1
"RP11-128P17.2","RP11-128P17.2",1
"RP11-126K15.1","RP11-126K15.1",1
"RP5-1016A21.1","RP5-1016A21.1",1
"AC025811.3","AC025811.3",1
"RP1-288L1.5","RP1-288L1.5",1
"Z82214.3","Z82214.3",1
"RP4-555D20.3","RP4-555D20.3",1
"RP11-292E2.2","RP11-292E2.2",1
"RP11-36B15.1","RP11-36B15.1",1
"RP11-354O24.1","RP11-354O24.1",1
"LINC01332","LINC01332",1
"RP11-492L8.2","RP11-492L8.2",1
"RP3-335N17.2","RP3-335N17.2",1
"LINC00525","LINC00525",1
"AC008154.4","AC008154.4",1
"RP11-45F15.1","RP11-45F15.1",1
"RP6-91H8.5","RP6-91H8.5",1
"CTD-3075F15.1","CTD-3075F15.1",1
